,backprop,backprop,bfs,bfs,b+tree,b+tree,dwt2d,dwt2d,gaussian,gaussian,heartwall,heartwall,hybridsort,hybridsort,kmeans,kmeans,lavaMD,lavaMD,lud,lud,myocyte,myocyte,nn,nn,nw,nw,pathfinder,pathfinder,srad,srad
Kernel exec (ms),1289.12,,284.033,,884.279,,242.383,,1554.38,,4116.86,,312.67,,5770.5,,6750.72,,15796.7,,7820.44,,45.6724,,440.698,,1007.33,,961.707,
end2end (s),1.595,,0.555,,2.50833,,0.470833,,1.7725,,4.445,,0.935,,7.69667,,7.02,,16.0058,,9.07917,,0.249167,,0.644167,,1.32167,,1.17833,
# of API,53,,208,,107,,128,,24595,,634,,238,,271,,38,,2314,,215097,,27,,305,,93,,479,
,point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms)
,13,163.359,61,40.123,23,138.89,127,67.269,6710,321.578,61,368.305,126,59.905,61,2128.932,1,0.058,521,145.641,144841,260.495,13,0.155,294,104.25,85,1.741,366,54.245
,4,0.087,90,34.048,43,142.779,68,496.889,15381,340.731,622,159.449,116,60.681,64,2110.717,20,288.709,80,145.692,140141,246.763,4,0.075,296,97.381,38,370.884,409,55.865
,40,328.355,29,36.828,49,3.116,19,568.483,21097,364.383,126,364.196,176,61.566,4,0.093,14,156.745,1290,157.228,134688,243.822,10,0.064,266,99.293,1,0.084,260,56.165
,42,323.399,206,0.487,98,2.461,45,498.67,21276,355.221,538,368.721,100,4.871,225,2093.563,0,0.071,4,0.083,45724,75.477,7,0.04,89,96.948,50,355.787,183,56.55
,41,325.332,78,33.385,3,0.084,82,502.859,15123,342.001,252,370.283,107,19.738,97,2076.314,16,293.926,1130,156.121,201589,362.177,13,0.129,292,102.167,58,366.443,130,57.514
,41,333.767,33,39.445,102,0.347,7,0.199,10753,327.378,395,365.804,34,69.153,93,2095.874,12,0.144,161,141.21,52526,83.679,12,0.098,79,102.038,58,363.847,414,55.845
