backprop,25,34,13,9,22,4,1,35,48,46,15,39,7,0,27,11,34,49,47,37,35,41,11,42,24,49,16,51,25,13,39,51,14,22,24,13,30,22,12,24,9,10,46,40,30,38,27,52,35,30
,76.855000,76.189000,43.201000,0.303000,82.351000,0.109000,0.075000,69.949000,0.814000,44.358000,45.131000,77.959000,0.130000,0.082000,82.502000,0.240000,82.513000,0.253000,30.723000,70.694000,80.810000,75.495000,0.235000,71.917000,80.333000,0.626000,48.289000,0.498000,73.865000,38.970000,65.595000,0.492000,41.386000,83.874000,82.982000,46.244000,83.785000,80.733000,4.542000,83.073000,0.171000,0.194000,38.554000,78.447000,78.597000,82.267000,80.885000,0.144000,71.403000,70.581000
bfs,198,190,187,110,102,15,202,53,139,18,135,121,102,78,150,7,115,53,75,119,74,113,76,176,137,78,67,200,133,157,62,141,153,129,161,143,119,65,94,5,206,8,116,33,73,160,117,129,168,112
,11.240000,9.481000,8.836000,8.836000,7.368000,13.723000,1.709000,9.569000,7.414000,10.893000,8.852000,8.223000,12.172000,8.808000,8.593000,0.036000,8.620000,11.951000,14.700000,9.434000,13.301000,12.016000,11.552000,8.940000,12.593000,12.417000,12.721000,2.219000,9.143000,6.814000,12.404000,11.266000,9.484000,11.653000,9.486000,12.581000,14.953000,11.176000,7.895000,0.133000,0.500000,0.113000,11.499000,9.098000,12.767000,12.564000,11.041000,12.895000,10.306000,7.721000
b+tree,63,62,36,66,83,49,27,9,6,20,33,17,65,41,94,97,55,83,93,24,13,8,11,102,9,96,96,20,103,60,22,96,28,42,51,72,103,31,53,51,78,53,86,83,79,28,60,92,38,47
,0.159000,0.147000,31.548000,0.263000,43.691000,1.303000,36.411000,0.042000,0.100000,41.941000,39.732000,35.996000,0.127000,39.353000,36.397000,44.406000,0.666000,40.445000,40.427000,41.038000,0.161000,3.179000,0.200000,0.286000,0.043000,43.283000,51.048000,39.248000,0.155000,0.115000,31.599000,49.393000,35.302000,37.065000,1.030000,0.217000,0.303000,39.821000,0.649000,1.278000,43.789000,0.776000,43.002000,44.243000,37.250000,40.582000,0.160000,40.360000,39.861000,41.683000
dwt2d,32,19,15,119,12,31,52,55,39,107,25,25,42,90,69,85,50,24,24,28,29,83,34,88,3,112,77,98,2,9,31,2,104,123,127,76,63,111,6,72,117,105,101,21,92,5,36,69,43,124
,70.181000,74.399000,45.918000,53.673000,19.825000,71.340000,66.601000,68.230000,67.005000,67.041000,73.416000,76.675000,71.604000,66.235000,67.459000,71.458000,67.598000,79.730000,75.550000,72.478000,69.010000,70.789000,67.850000,69.867000,0.131000,68.745000,68.789000,71.573000,0.086000,0.175000,71.635000,0.087000,68.434000,20.857000,18.784000,68.484000,67.976000,68.097000,0.146000,67.839000,68.288000,68.352000,67.772000,81.613000,65.580000,0.054000,68.638000,68.988000,67.579000,13.797000
gaussian,13896,9609,21680,20008,10551,23756,20761,6712,10194,14073,14005,1321,1515,8179,21804,15379,15231,19615,22140,5329,24041,8973,15165,12126,15511,18370,18001,11194,13000,22146,14880,3264,9706,15833,6323,2356,733,13098,17700,12857,23880,6620,12420,8716,2715,23928,23253,21068,15429,17091,21883,22688,3755,14725,23396,9935,20303,22987,1339,10592,8922,18697,1578,20692,1263,21199,8645,3130,21502,7498,21113,16441,4619,14520,24193,9778,22926,2622,4425,23830,18885,21538,15758,9438,15342,2958,3911,16677,23415,7043,14464,3706,12577,19996,22077,10920,7171,23187,21166,20046,11397,3950,14941,7254,5968,14811,17586,21210,5791,6993,8347,12926,11519,19149,22033,8317,8271,6015,14665,20394,6784,18978,10745,14632,20400,19041,15937,2237,19241,16412,19535,1601,13268,5259,17577,23147,10179,21255,22082,20046,183,5325,13938,19245,4352,2731,21845,23437,19622,11156
,98.961000,92.215000,112.317000,108.090000,90.628000,115.847000,111.607000,89.942000,87.103000,94.685000,100.920000,84.897000,71.241000,93.762000,106.425000,101.554000,103.829000,105.725000,111.464000,88.224000,116.284000,93.880000,102.261000,100.039000,100.768000,105.872000,106.304000,91.874000,97.082000,112.623000,99.862000,87.475000,89.881000,106.722000,87.696000,89.954000,80.479000,92.981000,93.758000,99.172000,115.804000,90.028000,98.531000,91.151000,82.282000,115.727000,114.656000,108.583000,102.193000,106.226000,111.078000,111.980000,88.653000,101.929000,109.238000,83.725000,106.991000,115.459000,76.612000,90.070000,93.363000,108.823000,80.113000,110.641000,84.530000,111.875000,91.471000,81.905000,108.688000,90.018000,111.144000,104.462000,86.471000,95.366000,118.480000,95.188000,119.024000,80.551000,87.639000,115.962000,108.714000,96.325000,106.098000,89.475000,104.164000,79.517000,86.562000,101.363000,116.309000,90.951000,99.872000,87.746000,98.622000,109.856000,111.898000,92.998000,87.272000,111.688000,113.957000,109.037000,94.880000,83.402000,104.794000,91.067000,90.546000,98.158000,105.357000,115.799000,89.998000,95.503000,95.581000,86.671000,97.052000,107.710000,112.078000,92.656000,94.402000,90.365000,103.065000,109.958000,87.940000,106.721000,96.752000,90.885000,108.096000,101.049000,101.244000,85.470000,107.337000,104.484000,109.512000,85.431000,92.698000,89.349000,108.077000,113.910000,96.994000,113.620000,112.024000,111.073000,69.889000,89.477000,103.710000,93.255000,89.648000,88.289000,113.003000,115.827000,114.982000,93.967000
