CPU,Init,MemAlloc,HtoD,Exec,DtoH,Close,Total
backprop,220.767,0.0509333,177.826,2064.21,38.4679,2.7556,2678.28
bfs,155.006,10.8964,176.767,1896.62,3.22338,0.501733,2648.75
cfd,513.859,0.1158,6.60714,15789.8,1.17559,0.707667,19998.3
gaussian,126.343,0.0229333,36.6069,2570.66,14.7736,0.423267,1490.21
hotspot,287.516,0.0166,0.00366667,7708.99,0.0004792,0.260467,8680.27
hotspot3D,182.44,0.0218,6.63902,2425.49,2.82548,14.1171,2729.76
hybridsort,352.685,0.284467,2262.22,1589.93,1055.51,7.9992,5407.64
lud,436.18,0.02,64.5157,5485.01,29.8297,0.599933,6047.22
nn,155.58,0.0202667,0.242713,2000.23,0.0868357,0.0619333,1209.49
nw,466.019,0.0238667,1988.44,1022.76,1024.14,17.0132,4540.74
pathfinder,221.743,0.0722667,0,1845.97,1.18484,0.187667,2070.83
srad,422.042,0.0721333,0.389831,1657.86,2.10007,15.4672,2433.81
streamcluster,266.297,0.1328,470.62,4583.18,329.472,0.770467,8795.55
