GPU,Init,MemAlloc,HtoD,Exec,DtoH,Close,Total
backprop,876.025,0.0162,93.8084,327.821,27.6235,2.07793,1558.84
bfs,869.093,17.0202,127.925,615.485,2.75724,0.552933,1833.93
cfd,986.552,0.0218,1.41352,2590.38,1.18849,0.908067,6029.88
gaussian,963.419,0.0102667,22.4128,4217.09,10.8624,0.456133,2684.7
hotspot,891.075,0.00406667,5.9112,284.14,0.320292,1.89113,1880.75
hotspot3D,440.71,0.0108667,3.2378,356.734,1.70404,189.807,1056.05
hybridsort,1383.87,0.0607333,1704.19,555.813,738.952,4.86893,4496.62
lud,998.825,0.0036,44.8471,354.649,23.0162,0.403267,1442.3
nn,972.724,0.0056,0.0312917,521.034,0.0144469,0.291667,1074.34
nw,909.817,0.00673333,966.07,207.089,869.303,9.5398,2990.63
pathfinder,424.731,28.4692,0,69.7696,0.925933,9.90013,577.179
srad,952.256,0.0209333,0.0833792,222.053,2.29514,433.13,1871.21
streamcluster,981.275,4.75667,295.531,398.248,177.57,0.998133,4478.7
