GPU,Init,MemAlloc,HtoD,Exec,DtoH,Close,Total
backprop,340.482,0.0269333,144.647,693.749,53.5505,2.11473,1556.81
bfs,313.507,24.5115,243.07,2116.87,8.3534,0.620333,2918.18
cfd,341.215,0.0332,2.63504,18879.4,1.77715,0.8344,21909.4
gaussian,355.155,0.0102,24.1532,31687.4,20.9305,0.460667,16127.4
hotspot,342.477,0.0052,2.67687,4130.01,0.651366,1.1636,4971.86
hotspot3D,104.09,0.00933333,4.62378,1590.88,3.05515,41.8935,1815.98
hybridsort,295.871,0.0862667,2565.31,1265.12,1387.2,2.49613,5666.83
lud,330.335,0.00473333,53.0414,2666.33,60.7646,0.3294,3132.21
nn,345.117,0.00586667,0.0582827,989.766,0.0297451,0.275933,802.863
nw,320.532,0.00666667,362.902,228.473,420.611,1.29007,1347.8
pathfinder,102.074,35.4943,0,795.888,1.57929,8.94847,1011.87
srad,335.709,0.0267333,0.156757,728.782,7.72052,164.757,1544.89
streamcluster,340.855,4.03427,588.333,1602.85,356.27,0.9216,5690.11
